"Date","Price","Open","High","Low","Vol.","Change %"
"14/02/2024","60.00","60.00","60.00","60.00","1.50M","0.00%"
"13/02/2024","60.00","60.00","60.00","60.00","1.50M","0.00%"
"12/02/2024","60.00","60.00","64.00","60.00","69.26K","0.00%"
"09/02/2024","60.00","60.00","60.00","60.00","705.94K","0.00%"
"08/02/2024","60.00","65.00","60.00","60.00","555.58K","-7.69%"
"07/02/2024","65.00","65.00","64.95","60.00","14.06K","0.00%"
"06/02/2024","65.00","65.00","64.00","60.00","270.79K","0.00%"
"05/02/2024","65.00","64.95","65.00","64.95","1.43M","0.08%"
"02/02/2024","64.95","65.00","65.00","64.95","562.55K","-0.08%"
"01/02/2024","65.00","65.00","64.00","58.50","234.19K","0.00%"
"31/01/2024","65.00","65.00","65.50","58.50","512.10K","0.00%"
"30/01/2024","65.00","65.00","65.00","61.60","175.36K","0.00%"
"29/01/2024","65.00","65.00","65.00","65.00","21.89M","0.00%"
"26/01/2024","65.00","65.00","65.40","64.15","40.32K","0.00%"
"25/01/2024","65.00","65.00","65.00","65.00","4.93M","0.00%"
"24/01/2024","65.00","65.00","65.00","63.00","557.04K","0.00%"
"23/01/2024","65.00","65.00","64.95","63.00","110.65K","0.00%"
"22/01/2024","65.00","65.00","66.00","63.00","122.33K","0.00%"
"19/01/2024","65.00","65.00","67.70","63.00","1.12M","0.00%"
"18/01/2024","65.00","65.00","67.85","62.05","472.79K","0.00%"
"17/01/2024","65.00","68.50","65.40","65.00","2.71M","-5.11%"
"16/01/2024","68.50","68.00","68.50","68.50","785.51K","0.74%"
"15/01/2024","68.00","68.00","68.00","63.80","221.55K","0.00%"
"12/01/2024","68.00","68.00","66.00","64.50","825.76K","0.00%"
"11/01/2024","68.00","68.00","69.00","63.50","489.58K","0.00%"
"10/01/2024","68.00","68.00","69.65","66.50","464.73K","0.00%"
"09/01/2024","68.00","65.25","69.65","68.00","8.03M","4.21%"
"08/01/2024","65.25","65.50","65.75","65.25","4.41M","-0.38%"
"05/01/2024","65.50","65.05","66.00","64.10","6.12M","0.69%"
"04/01/2024","65.05","66.00","69.00","65.05","7.09M","-1.44%"
"03/01/2024","66.00","64.00","66.00","66.00","608.12K","3.13%"
"02/01/2024","64.00","69.65","64.00","64.00","604.97K","-8.11%"
"29/12/2023","69.65","66.00","69.65","69.50","754.06K","5.53%"
"28/12/2023","66.00","61.00","66.00","66.00","352.26K","8.20%"
"27/12/2023","61.00","64.90","61.00","61.00","3.17M","-6.01%"
"22/12/2023","64.90","64.60","64.90","64.90","256.10K","0.46%"
"21/12/2023","64.60","64.60","67.00","64.60","103.46K","0.00%"
"20/12/2023","64.60","59.10","64.60","64.60","475.37K","9.31%"
"19/12/2023","59.10","65.00","65.00","59.10","3.14M","-9.08%"
"18/12/2023","65.00","66.00","65.00","65.00","2.03M","-1.52%"
"15/12/2023","66.00","66.00","65.00","61.50","1.77M","0.00%"
"14/12/2023","66.00","66.00","64.65","61.05","215.86K","0.00%"
"13/12/2023","66.00","66.00","64.80","61.00","1.06M","0.00%"
"12/12/2023","66.00","66.00","64.80","61.00","321.27K","0.00%"
"11/12/2023","66.00","66.00","64.80","61.00","1.77M","0.00%"
"08/12/2023","66.00","66.00","64.85","62.00","16.41K","0.00%"
"07/12/2023","66.00","66.00","62.20","60.65","131.55K","0.00%"
"06/12/2023","66.00","62.50","66.00","66.00","1.86M","5.60%"
"05/12/2023","62.50","62.50","62.05","61.00","426.21K","0.00%"
"04/12/2023","62.50","62.05","62.50","62.05","1.61M","0.73%"
"01/12/2023","62.05","62.05","63.95","59.30","26.57K","0.00%"
"30/11/2023","62.05","62.05","62.05","62.05","1.67M","0.00%"
"29/11/2023","62.05","63.00","62.05","62.05","1.86M","-1.51%"
"28/11/2023","63.00","65.00","63.00","63.00","589.59K","-3.08%"
"27/11/2023","65.00","65.00","64.75","61.55","65.46K","0.00%"
"24/11/2023","65.00","65.00","64.75","61.45","19.31K","0.00%"
"23/11/2023","65.00","65.00","67.00","61.00","95.34K","0.00%"
"22/11/2023","65.00","65.00","65.00","65.00","8.00M","0.00%"
"21/11/2023","65.00","65.00","65.00","65.00","1.06M","0.00%"
"20/11/2023","65.00","69.95","65.00","65.00","1.22M","-7.08%"
"17/11/2023","69.95","69.95","69.00","64.10","47.33K","0.00%"
"16/11/2023","69.95","69.95","69.00","64.00","80.56K","0.00%"
"15/11/2023","69.95","69.95","68.50","64.50","247.79K","0.00%"
"14/11/2023","69.95","69.95","69.50","64.30","175.62K","0.00%"
"13/11/2023","69.95","69.95","69.90","65.05","110.78K","0.00%"
"10/11/2023","69.95","69.95","69.95","66.05","128.03K","0.00%"
"09/11/2023","69.95","70.00","70.00","67.50","96.92M","-0.07%"
"08/11/2023","70.00","70.00","70.00","67.50","11.09K","0.00%"
"07/11/2023","70.00","70.00","71.00","67.50","77.51K","0.00%"
"06/11/2023","70.00","75.00","70.05","70.00","6.92M","-6.67%"
"03/11/2023","75.00","75.00","70.00","67.50","148.63K","0.00%"
"02/11/2023","75.00","75.00","72.00","67.50","216.43K","0.00%"
"01/11/2023","75.00","75.00","73.50","68.25","5.77K","0.00%"
"31/10/2023","75.00","74.00","75.00","74.00","468.84K","1.35%"
"30/10/2023","74.00","67.75","74.00","74.00","482.63K","9.23%"
"27/10/2023","67.75","67.75","68.00","63.20","272.78K","0.00%"
"26/10/2023","67.75","70.00","67.75","67.75","7.31M","-3.21%"
"25/10/2023","70.00","70.00","69.90","63.00","50.61K","0.00%"
"24/10/2023","70.00","69.55","70.00","70.00","294.41K","0.65%"
"23/10/2023","69.55","69.55","72.00","63.50","111.28K","0.00%"
"20/10/2023","69.55","69.55","69.55","65.05","390.86K","0.00%"
"19/10/2023","69.55","76.00","69.55","69.55","591.33K","-8.49%"
"18/10/2023","76.00","76.00","75.65","72.00","155.77K","0.00%"
"17/10/2023","76.00","72.00","76.00","76.00","336.39K","5.56%"
"16/10/2023","72.00","80.00","72.00","72.00","250.37K","-10.00%"
"13/10/2023","80.00","80.00","75.00","72.00","470.20K","0.00%"
"12/10/2023","80.00","80.00","75.65","72.00","92.16K","0.00%"
"11/10/2023","80.00","80.00","75.00","72.00","30.08K","0.00%"
"10/10/2023","80.00","80.00","75.60","72.10","10.94K","0.00%"
"09/10/2023","80.00","80.00","79.90","72.00","104.36K","0.00%"
"06/10/2023","80.00","78.00","80.00","70.25","1.15M","2.56%"
"05/10/2023","78.00","78.00","73.00","70.20","40.50K","0.00%"
"04/10/2023","78.00","78.00","73.90","70.70","287.56K","0.00%"
"03/10/2023","78.00","78.00","74.20","70.20","65.63K","0.00%"
"29/09/2023","78.00","78.00","74.15","70.20","133.04K","0.00%"
"28/09/2023","78.00","78.00","73.00","70.20","270.16K","0.00%"
"26/09/2023","78.00","78.00","78.00","70.20","1.58M","0.00%"
"25/09/2023","78.00","78.00","78.00","70.20","123.60K","0.00%"
"22/09/2023","78.00","78.00","79.00","70.20","551.80K","0.00%"
"21/09/2023","78.00","78.00","77.30","71.00","73.15K","0.00%"
"20/09/2023","78.00","78.00","82.90","74.00","373.43K","0.00%"
"19/09/2023","78.00","75.50","83.05","74.00","8.34M","3.31%"
"18/09/2023","75.50","68.90","75.50","74.00","1.04M","9.58%"
"15/09/2023","68.90","68.00","68.90","68.00","2.08M","1.32%"
"14/09/2023","68.00","65.00","68.00","66.50","1.26M","4.62%"
"13/09/2023","65.00","65.00","66.50","59.10","142.84K","-2.26%"
"12/09/2023","66.50","66.50","65.95","59.85","171.09K","0.00%"
"11/09/2023","66.50","66.50","67.00","63.90","339.71K","0.00%"
