"Date","Price","Open","High","Low","Vol.","Change %"
"20/08/2024","4.000","4.150","4.120","4.000","930.66K","-3.61%"
"19/08/2024","4.150","4.170","4.150","4.150","2.34M","-0.48%"
"16/08/2024","4.170","4.130","4.170","4.170","1.90M","0.97%"
"15/08/2024","4.130","4.120","4.200","4.130","1.26M","0.24%"
"14/08/2024","4.120","3.750","4.120","4.100","3.50M","9.87%"
"13/08/2024","3.750","4.020","4.000","3.750","1.47M","-6.72%"
"12/08/2024","4.020","4.000","4.020","3.980","3.49M","0.50%"
"09/08/2024","4.000","3.980","4.000","4.000","1.77M","0.50%"
"08/08/2024","3.980","3.850","3.980","3.980","766.02K","3.38%"
"07/08/2024","3.850","4.100","4.000","3.850","1.59M","-6.10%"
"06/08/2024","4.100","3.830","4.210","3.500","5.06M","7.05%"
"05/08/2024","3.830","3.500","3.830","3.490","5.37M","9.74%"
"02/08/2024","3.490","3.220","3.490","3.260","1.97M","8.39%"
"01/08/2024","3.220","3.220","3.300","3.150","157.42K","0.00%"
"31/07/2024","3.220","3.150","3.300","3.150","6.15M","2.22%"
"30/07/2024","3.150","3.340","3.150","3.140","1.98M","-5.69%"
"29/07/2024","3.340","3.100","3.340","3.340","614.35K","7.74%"
"26/07/2024","3.100","3.150","3.160","3.100","1.06M","-1.59%"
"25/07/2024","3.150","3.200","3.150","3.150","1.38M","-1.56%"
"24/07/2024","3.200","3.180","3.200","3.200","794.48K","0.63%"
"23/07/2024","3.180","3.170","3.180","3.180","442.24K","0.32%"
"22/07/2024","3.170","3.300","3.300","3.170","1.38M","-4.23%"
"19/07/2024","3.310","3.310","3.350","3.180","400.34K","0.00%"
"18/07/2024","3.310","3.340","3.400","3.310","2.75M","-0.90%"
"17/07/2024","3.340","3.450","3.340","3.340","355.44K","-3.19%"
"16/07/2024","3.450","3.300","3.450","3.450","1.34M","4.55%"
"15/07/2024","3.300","3.440","3.450","3.300","725.77K","-4.07%"
"12/07/2024","3.440","3.160","3.450","3.340","2.14M","8.86%"
"11/07/2024","3.160","3.450","3.230","3.160","986.95K","-8.41%"
"10/07/2024","3.450","3.450","3.450","3.180","220.16K","0.00%"
"09/07/2024","3.450","3.450","3.450","3.340","62.52K","0.00%"
"08/07/2024","3.450","3.340","3.450","3.450","357.81K","3.29%"
"05/07/2024","3.340","3.340","3.360","3.170","49.70K","0.00%"
"04/07/2024","3.340","3.360","3.340","3.340","1.06M","-0.60%"
"03/07/2024","3.360","3.360","3.680","3.350","73.84K","0.00%"
"02/07/2024","3.360","3.360","3.690","3.360","347.35K","0.00%"
"01/07/2024","3.360","3.360","3.360","3.360","318.91K","0.00%"
"28/06/2024","3.360","3.360","3.490","3.170","256.04K","0.00%"
"27/06/2024","3.360","3.360","3.450","3.250","458.25K","0.00%"
"26/06/2024","3.360","3.130","3.360","3.170","516.24K","7.35%"
"25/06/2024","3.130","3.400","3.130","3.130","498.38K","-7.94%"
"24/06/2024","3.400","3.400","3.400","3.400","741.83K","0.00%"
"21/06/2024","3.400","3.400","3.700","3.200","413.34K","0.00%"
"20/06/2024","3.400","3.450","3.400","3.400","499.53K","-1.45%"
"19/06/2024","3.450","3.150","3.450","3.450","585.16K","9.52%"
"14/06/2024","3.150","3.150","3.280","3.160","125.13K","0.00%"
"13/06/2024","3.150","3.150","3.270","3.150","92.27K","0.00%"
"11/06/2024","3.150","3.150","3.280","3.120","284.33K","0.00%"
"10/06/2024","3.150","3.150","3.280","3.100","116.29K","0.00%"
