"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2024","65.00","65.00","65.00","65.00","418.77K","0.00%"
"02/10/2024","65.00","65.00","65.00","65.00","253.60K","0.00%"
"30/09/2024","65.00","63.50","65.00","65.00","2.45M","2.36%"
"27/09/2024","63.50","63.50","63.50","63.50","13.05K","0.00%"
"26/09/2024","63.50","65.00","63.50","63.50","293.06K","-2.31%"
"25/09/2024","65.00","65.00","65.00","65.00","369.69K","0.00%"
"24/09/2024","65.00","65.00","65.00","65.00","55.38K","0.00%"
"23/09/2024","65.00","63.50","65.00","63.50","363.48K","2.36%"
"20/09/2024","63.50","63.50","63.50","63.50","106.05K","0.00%"
"19/09/2024","63.50","63.50","63.50","63.50","634.24K","0.00%"
"18/09/2024","63.50","63.50","63.50","63.50","148.99K","0.00%"
"17/09/2024","63.50","63.50","63.50","63.50","280.71K","0.00%"
"13/09/2024","63.50","63.50","63.50","63.50","536.01K","0.00%"
"12/09/2024","63.50","63.50","63.50","63.50","366.34K","0.00%"
"11/09/2024","63.50","63.50","63.50","63.50","43.62K","0.00%"
"10/09/2024","63.50","63.50","63.50","63.50","48.92K","0.00%"
"09/09/2024","63.50","63.50","63.50","63.50","65.96K","0.00%"
"06/09/2024","63.50","63.50","63.50","63.50","121.76K","0.00%"
"05/09/2024","63.50","63.50","63.50","63.50","194.99K","0.00%"
"04/09/2024","63.50","63.50","63.50","63.50","363.24K","0.00%"
"03/09/2024","63.50","63.50","63.50","63.50","323.76K","0.00%"
"02/09/2024","63.50","63.50","63.50","63.50","397.04K","0.00%"
"30/08/2024","63.50","63.50","63.50","63.50","144.66K","0.00%"
"29/08/2024","63.50","63.50","63.50","63.50","29.75K","0.00%"
"28/08/2024","63.50","63.50","63.50","63.50","43.20K","0.00%"
"27/08/2024","63.50","63.50","63.50","63.50","149.36K","0.00%"
"26/08/2024","63.50","63.50","63.50","63.50","140.63K","0.00%"
"23/08/2024","63.50","63.50","63.50","63.50","151.17K","0.00%"
"22/08/2024","63.50","63.50","63.50","63.50","128.32K","0.00%"
"21/08/2024","63.50","63.50","63.50","63.50","245.25K","0.00%"
"20/08/2024","63.50","63.50","63.50","63.50","255.39K","0.00%"
"19/08/2024","63.50","63.50","63.50","63.50","21.24K","0.00%"
"16/08/2024","63.50","63.50","63.50","63.50","202.94K","0.00%"
"15/08/2024","63.50","63.50","63.50","63.50","13.52K","0.00%"
"14/08/2024","63.50","63.50","63.50","63.50","150.78K","0.00%"
"13/08/2024","63.50","63.50","63.50","63.50","55.13K","0.00%"
"12/08/2024","63.50","63.50","63.50","63.50","192.20K","0.00%"
"09/08/2024","63.50","63.50","63.50","63.50","124.12K","0.00%"
"08/08/2024","63.50","63.50","63.50","63.50","377.35K","0.00%"
"07/08/2024","63.50","63.50","63.50","63.50","45.51K","0.00%"
"06/08/2024","63.50","63.50","63.50","63.50","282.83K","0.00%"
"05/08/2024","63.50","63.50","65.00","61.00","58.75K","0.00%"
"02/08/2024","63.50","61.00","63.50","63.50","9.50M","4.10%"
"01/08/2024","61.00","61.90","61.00","61.00","9.46M","-1.45%"
"31/07/2024","61.90","60.50","61.90","61.90","9.51M","2.31%"
"30/07/2024","60.50","63.50","60.50","60.50","9.75M","-4.72%"
"29/07/2024","63.50","63.50","62.00","60.10","87.71K","0.00%"
"26/07/2024","63.50","63.50","63.45","62.50","397.51K","0.00%"
"25/07/2024","63.50","64.05","63.50","63.50","425.57K","-0.86%"
"24/07/2024","64.05","64.05","64.00","62.30","78.48K","0.00%"
"23/07/2024","64.05","64.05","64.05","62.05","33.25K","0.00%"
"22/07/2024","64.05","64.05","69.00","61.40","107.93K","0.00%"
"19/07/2024","64.05","64.05","66.95","61.95","297.81K","0.00%"
"18/07/2024","64.05","64.05","67.50","61.10","457.32K","0.00%"
"17/07/2024","64.05","64.05","64.05","64.05","272.57K","0.00%"
"16/07/2024","64.05","65.00","64.05","64.05","134.49K","-1.46%"
"15/07/2024","65.00","65.00","67.70","63.90","69.57K","0.00%"
"12/07/2024","65.00","70.00","65.10","65.00","1.49M","-7.14%"
"11/07/2024","70.00","70.00","67.75","63.70","47.80K","0.00%"
"10/07/2024","70.00","70.00","67.75","65.05","272.87K","0.00%"
"09/07/2024","70.00","70.00","68.50","64.25","100.28K","0.00%"
"08/07/2024","70.00","70.00","68.00","64.00","147.39K","0.00%"
"05/07/2024","70.00","70.00","68.00","63.80","58.23K","0.00%"
"04/07/2024","70.00","70.00","70.00","65.00","143.78K","0.00%"
"03/07/2024","70.00","67.00","70.00","66.95","5.27M","4.48%"
"02/07/2024","67.00","67.00","67.00","64.00","336.17K","0.00%"
"01/07/2024","67.00","67.00","67.00","67.00","1.27M","0.00%"
"28/06/2024","67.00","70.00","67.00","67.00","42.98M","-4.29%"
"27/06/2024","70.00","70.00","70.00","69.45","3.62M","0.00%"
"26/06/2024","70.00","70.00","69.00","65.65","152.44K","0.00%"
"25/06/2024","70.00","70.00","70.00","67.40","5.48M","0.00%"
"24/06/2024","70.00","70.00","70.00","66.25","1.99M","0.00%"
"21/06/2024","70.00","70.00","70.90","65.30","531.28K","0.00%"
"20/06/2024","70.00","66.25","70.00","69.00","4.15M","5.66%"
"19/06/2024","66.25","60.25","66.25","66.20","1.32M","9.96%"
"14/06/2024","60.25","54.80","60.25","60.25","339.48K","9.95%"
"13/06/2024","54.80","54.80","60.25","60.25","280.55K","0.00%"
"11/06/2024","54.80","50.55","54.80","54.80","178.10K","8.41%"
"10/06/2024","50.55","50.55","55.50","49.85","278.00K","0.00%"
"07/06/2024","50.55","49.85","50.55","50.55","143.85K","1.40%"
"06/06/2024","49.85","49.75","49.85","49.85","19.57M","0.20%"
"05/06/2024","49.75","49.85","49.75","49.75","10.14M","-0.20%"
"04/06/2024","49.85","49.85","49.85","49.85","12.88M","0.00%"
"03/06/2024","49.85","49.55","49.85","49.85","5.70M","0.61%"
"31/05/2024","49.55","49.55","53.50","49.65","148.71K","0.00%"
"30/05/2024","49.55","49.60","49.55","49.55","800.93K","-0.10%"
"29/05/2024","49.60","49.75","49.60","49.60","2.22M","-0.30%"
"28/05/2024","49.75","49.75","49.75","49.75","2.07M","0.00%"
"27/05/2024","49.75","49.60","49.75","49.75","2.02M","0.30%"
"24/05/2024","49.60","49.60","53.00","49.60","62.95K","0.00%"
