"Date","Price","Open","High","Low","Vol.","Change %"
"15/09/2025","47.50","48.00","48.05","47.50","2.61M","-1.04%"
"12/09/2025","48.00","48.00","49.60","48.00","1.76M","0.00%"
"11/09/2025","48.00","47.55","48.00","48.00","1.50M","0.95%"
"10/09/2025","47.55","47.25","49.00","47.05","7.31M","0.63%"
"09/09/2025","47.25","47.50","48.50","47.25","5.35M","-0.53%"
"08/09/2025","47.50","47.15","47.55","47.50","4.40M","0.74%"
"04/09/2025","47.15","47.00","47.15","47.10","2.42M","0.32%"
"03/09/2025","47.00","48.50","48.20","47.00","2.92M","-3.09%"
"02/09/2025","48.50","48.00","50.00","48.00","4.51M","1.04%"
"01/09/2025","48.00","51.20","51.50","48.00","3.20M","-6.25%"
"29/08/2025","51.20","53.85","53.20","51.20","7.32M","-4.92%"
"28/08/2025","53.85","53.95","54.00","53.05","5.03M","-0.19%"
"27/08/2025","53.95","53.00","53.95","53.05","4.42M","1.79%"
"26/08/2025","53.00","50.50","54.30","53.00","6.61M","4.95%"
"25/08/2025","50.50","49.00","50.50","49.00","3.31M","3.06%"
"22/08/2025","49.00","48.65","49.00","49.00","2.04M","0.72%"
"21/08/2025","48.65","48.95","48.65","47.60","4.30M","-0.61%"
"20/08/2025","48.95","47.05","49.30","48.95","3.95M","4.04%"
"19/08/2025","47.05","50.65","50.15","47.00","6.62M","-7.11%"
"18/08/2025","50.65","52.15","53.00","50.00","4.96M","-2.88%"
"15/08/2025","52.15","52.40","53.15","52.15","4.61M","-0.48%"
"14/08/2025","52.40","53.00","53.00","52.00","5.03M","-1.13%"
"13/08/2025","53.00","52.00","55.00","52.20","4.38M","1.92%"
"12/08/2025","52.00","53.00","53.00","51.50","4.23M","-1.89%"
"11/08/2025","53.00","56.00","53.50","51.10","5.38M","-5.36%"
"08/08/2025","56.00","54.00","56.00","54.00","2.43M","3.70%"
"07/08/2025","54.00","59.00","54.20","53.65","3.13M","-8.47%"
"06/08/2025","59.00","53.90","59.00","52.00","5.80M","9.46%"
"05/08/2025","53.90","51.00","54.00","52.00","3.93M","5.69%"
"04/08/2025","51.00","48.05","55.00","48.05","13.50M","-3.95%"
