"Date","Price","Open","High","Low","Vol.","Change %"
"16/08/2024","37.10","37.00","37.10","37.10","645.01K","0.27%"
"15/08/2024","37.00","37.00","37.00","37.00","408.22K","0.00%"
"14/08/2024","37.00","37.00","37.00","37.00","1.62M","0.00%"
"13/08/2024","37.00","37.80","37.80","36.80","3.49M","0.82%"
"12/08/2024","36.70","37.00","37.00","36.70","1.93M","-0.81%"
"09/08/2024","37.00","37.00","37.00","37.00","557.91K","0.00%"
"08/08/2024","37.00","37.20","37.00","37.00","3.68M","-0.54%"
"07/08/2024","37.20","37.00","37.20","37.20","1.29M","0.54%"
"06/08/2024","37.00","37.00","37.00","37.00","6.48M","0.00%"
"05/08/2024","37.00","36.80","37.00","37.00","1.62M","0.54%"
"02/08/2024","36.80","36.80","37.50","36.60","354.97K","0.00%"
"01/08/2024","36.80","36.80","36.80","36.80","682.22K","0.00%"
"31/07/2024","36.80","36.80","37.15","36.80","393.71K","0.00%"
"30/07/2024","36.80","36.80","36.80","36.80","1.57M","0.00%"
"29/07/2024","36.80","37.00","36.80","36.75","1.21M","-0.54%"
"26/07/2024","37.00","37.00","37.95","36.50","208.58K","0.00%"
"25/07/2024","37.00","37.00","37.00","37.00","870.24K","0.00%"
"24/07/2024","37.00","36.70","37.00","37.00","742.52K","0.82%"
"23/07/2024","36.70","36.70","36.95","36.05","363.94K","0.00%"
"22/07/2024","36.70","36.70","37.00","36.30","386.61K","0.00%"
"19/07/2024","36.70","36.50","36.70","36.70","457.09K","0.55%"
"18/07/2024","36.50","36.50","38.95","36.55","470.05K","0.00%"
"17/07/2024","36.50","36.50","36.50","36.50","1.54M","0.00%"
"16/07/2024","36.50","36.00","36.50","36.00","3.89M","1.39%"
"15/07/2024","36.00","36.30","36.00","36.00","2.55M","-0.83%"
"12/07/2024","36.30","36.90","36.50","36.00","2.71M","-1.63%"
"11/07/2024","36.90","36.50","37.00","36.90","1.00M","1.10%"
"10/07/2024","36.50","36.35","36.50","36.50","541.43K","0.41%"
"09/07/2024","36.35","36.00","36.35","36.00","3.90M","0.97%"
"08/07/2024","36.00","36.00","36.00","36.00","2.18M","0.00%"
"05/07/2024","36.00","35.00","36.00","36.00","5.86M","2.86%"
"04/07/2024","35.00","35.50","35.00","35.00","1.26M","-1.41%"
"03/07/2024","35.50","34.05","35.50","35.50","1.15M","4.26%"
"02/07/2024","34.05","34.05","35.95","34.80","1.54M","0.00%"
"01/07/2024","34.05","34.05","35.95","34.80","592.07K","0.00%"
"28/06/2024","34.05","34.05","36.00","35.35","306.14K","0.00%"
"27/06/2024","34.05","34.05","36.30","34.05","296.23K","0.00%"
"26/06/2024","34.05","34.05","35.85","34.00","304.53K","0.00%"
"25/06/2024","34.05","35.50","34.05","34.05","1.79M","-4.08%"
"24/06/2024","35.50","36.80","35.50","35.50","1.63M","-3.53%"
"21/06/2024","36.80","36.10","36.80","35.00","1.56M","1.94%"
"20/06/2024","36.10","35.90","36.10","36.10","1.78M","0.56%"
"19/06/2024","35.90","35.90","36.50","35.80","592.96K","0.00%"
"14/06/2024","35.90","34.00","35.90","35.85","1.31M","5.59%"
"13/06/2024","34.00","33.05","34.65","34.00","1.85M","2.87%"
"11/06/2024","33.05","33.05","34.25","33.35","1.03M","0.00%"
"10/06/2024","33.05","33.80","33.05","33.05","767.09K","-2.22%"
"07/06/2024","33.80","33.00","33.80","33.75","1.13M","2.42%"
"06/06/2024","33.00","33.00","34.50","33.65","263.60K","0.00%"
"05/06/2024","33.00","33.00","34.05","32.80","497.26K","0.00%"
"04/06/2024","33.00","33.00","33.00","33.00","858.89K","0.00%"
"03/06/2024","33.00","33.80","33.00","33.00","982.19K","-2.37%"
"31/05/2024","33.80","33.80","34.00","33.00","393.67K","0.00%"
"30/05/2024","33.80","34.00","33.80","33.80","5.14M","-0.59%"
"29/05/2024","34.00","33.30","34.00","34.00","710.26K","2.10%"
"28/05/2024","33.30","35.00","33.75","33.30","1.49M","-4.86%"
"27/05/2024","35.00","35.00","35.00","33.50","765.99K","0.00%"
"24/05/2024","35.00","35.00","35.00","33.30","222.89K","0.00%"
"23/05/2024","35.00","35.00","35.00","35.00","603.26K","0.00%"
"22/05/2024","35.00","33.50","35.00","35.00","747.72K","4.48%"
"21/05/2024","33.50","33.50","33.55","33.50","6.47M","0.00%"
"20/05/2024","33.50","33.50","33.80","33.50","3.61M","0.00%"
"17/05/2024","33.50","33.50","33.50","33.50","1.24M","0.00%"
"16/05/2024","33.50","33.50","33.80","33.50","2.11M","0.00%"
"15/05/2024","33.50","33.50","35.00","33.50","185.83K","0.00%"
